TotalRuns,SIERA,Opponent,HomeAway,OverUnder,SoxLine
7,7.22,LAA,Away,8,-0.16
20,8.12,LAA,Away,9,0.21
8,5.66,LAA,Away,9,-0.15
11,8.87,LAA,Away,9,0.25
6,7.37,SEA,Away,8,-0.25
14,9.26,SEA,Away,8,-0.53
12,10.91,SEA,Away,8,-0.45
6,8.05,KC,Home,8,-0.72
7,8.48,KC,Home,9,-0.15
7,9.91,CLE,Home,8,-0.25
2,6.24,CLE,Home,7,-0.11
6,6.72,CLE,Home,8,-0.57
11,9.55,BOS,Away,9,0.30
5,8.14,BOS,Away,7,0.00
15,7.38,BOS,Away,8,-0.15
13,7.07,CLE,Away,7,-0.11
16,7.76,TEX,Home,8,-0.40
3,9.28,TEX,Home,8,-0.72
7,8.5,DET,Home,8,-1.50
8,7.58,CLE,Home,7,0.40
10,9.59,CLE,Home,9,-0.72
5,8.58,CLE,Home,8,-0.57
9,9.47,CIN,Away,10,-0.11
1,8.52,CIN,Away,8,-0.30
3,6.62,KC,Away,9,-0.45
10,10.35,KC,Away,9,-0.72
12,7.38,KC,Away,8,-0.40
12,7.83,MIN,Home,8,-0.11
21,9.18,MIN,Home,8,-0.30
6,8.55,MIN,Home,8,-0.25
6,6.05,KC,Home,8,-0.95
7,8.38,KC,Home,9,-0.72
20,9.18,MIN,Away,10,0.11
9,9.22,MIN,Away,9,-0.45
3,9.04,MIN,Away,9,-0.21
3,5.93,NYY,Away,9,0.11
7,6.99,NYY,Away,8,1.10
9,8.66,NYY,Away,10,0.50
6,10.04,STL,Home,9,-0.80
11,7.49,STL,Home,8,-0.30
4,8.02,STL,Home,9,-1.13
6,8.43,BAL,Home,9,-1.13
4,8.73,BAL,Home,8,-1.10
14,7.23,CLE,Away,6,-0.60
11,7.47,CLE,Away,7,0.57
5,7.55,DET,Home,8,-1.13
17,5.2,DET,Home,9,-0.53
7,7.42,DET,Home,8,-1.40
3,9.67,DET,Home,9,-1.03
7,6.24,TOR,Home,9,-0.45
8,7.46,TOR,Home,8,-0.53
7,10.02,TOR,Home,9,-0.11
9,7.42,DET,Away,9,-0.45
17,9.67,DET,Away,9,-0.77
5,8.5,DET,Away,9,-1.16
7,5.97,TB,Home,7,0.21
3,8.01,TB,Home,9,-0.11
15,7.85,TB,Home,8,-0.35
12,7.5,HOU,Away,9,0.25
3,7.61,HOU,Away,8,0.00
10,6.31,HOU,Away,8,0.25
10,9.3,HOU,Away,9,0.35
9,8.63,PIT,Away,8,-0.72
7,8.5,PIT,Away,9,-0.60
12,7.4,SEA,Home,8,-0.95
5,6.69,SEA,Home,9,-0.90
13,8.81,MIN,Home,9,-0.25
16,7.6,MIN,Home,9,-0.21
13,6.89,MIN,Home,9,-0.45
10,8.22,DET,Away,9,-0.45
16,8.96,DET,Away,9,0.00
11,9.45,DET,Away,10,-0.77
13,7.52,MIN,Away,10,-0.25
5,6.89,MIN,Away,8,-0.21
7,7.88,MIN,Away,9,0.00
13,9.91,BAL,Away,10,-0.30
11,10.91,BAL,Away,11,-1.10
12,9.16,BAL,Away,10,-0.72
8,7.04,HOU,Home,9,0.25
11,9.34,HOU,Home,9,-0.11
4,7.71,HOU,Home,8,-0.35
14,8.84,MIN,Home,10,-0.35
9,7.45,MIN,Home,9,-0.53
8,8.36,MIL,Away,8,-0.25
7,5.89,MIL,Away,7,0.30
4,7.64,MIL,Away,8,0.57
7,9.17,KC,Away,10,-0.21
8,7.78,KC,Away,10,-0.45
5,8.9,KC,Away,10,-0.77
5,8,KC,Away,9,-0.77
10,8.96,CLE,Home,8,-1.40
23,9.15,CLE,Home,9,-0.53
8,7.73,KC,Home,9,-1.45
10,7.91,KC,Home,9,-1.80
5,10.3,KC,Home,10,-1.03
14,8.6,CHC,Away,9,-1.03
4,7.61,CHC,Away,9,-0.95
12,7.1,CHC,Away,10,-0.80
12,12.62,MIN,Away,10,-1.13
7,10.6,MIN,Away,11,-0.53
17,8.28,NYY,Away,10,-0.77
12,7.09,NYY,Home,9,-0.35
8,8.32,NYY,Home,9,-0.77
7,8.88,OAK,Home,9,0.21
5,8.77,OAK,Home,9,-1.10
9,9.68,OAK,Home,9,-0.53
12,7.7,TB,Away,9,-0.15
12,10.59,TB,Away,9,0.40
3,7.83,TOR,Away,9,0.11
7,6.91,TOR,Away,9,0.25
4,6.39,TOR,Away,9,0.15
17,7.52,TOR,Away,9,0.00
30,12.53,CHC,Home,10,-1.10
7,8.57,CHC,Home,9,-2.20
14,7.83,CHC,Home,9,-1.60
6,8.69,PIT,Home,9,-2.60
9,8.23,PIT,Home,9,-3.00
9,9.8,KC,Away,9,-0.21
6,7.99,KC,Away,9,-0.45
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,